learning_rate,threshold_euclid,numOfEpochs,batch_size,numOfThreads,TestAccuracy,TestRecall,TestPrecision,TestF1,ValidAccuracy,ValidRecall,ValidPrecision,ValidF1,Time-CPU,Time-Real,
0.01000,0.001, 5, 1024,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.13, 1.23,
0.01000,0.001, 5, 2056,10, 87.62,  2.08, 65.44,  4.04, 87.62,  2.00, 65.52,  3.88,1.14, 1.24,
0.01000,0.001, 5, 2056,15, 13.05,100.00, 12.57, 22.33, 13.06,100.00, 12.57, 22.33,1.08, 1.16,
0.01000,0.001, 5, 2056,20, 87.49,  0.14, 41.38,  0.28, 87.50,  0.12, 58.82,  0.23,1.07, 1.16,
0.01000,0.001,10,  512,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.05, 2.18,
0.01000,0.001,10,  512,15, 12.50,100.00, 12.50, 22.22, 12.50,100.00, 12.50, 22.22,2.07, 2.22,
0.01000,0.001,10,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.06, 2.21,
0.01000,0.001,10, 1024,10, 25.04, 95.73, 13.85, 24.20, 25.03, 95.48, 13.82, 24.15,2.72, 3.17,
0.01000,0.001,10, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.67, 3.38,
0.01000,0.001,10, 1024,20, 88.08,  7.41, 72.76, 13.44, 88.09,  7.45, 73.13, 13.52,2.17, 2.66,
0.01000,0.001,10, 2056,10, 64.33, 49.54, 17.42, 25.78, 64.25, 49.40, 17.35, 25.68,2.11, 2.44,
0.01000,0.001,10, 2056,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.09, 2.24,
0.01000,0.001,10, 2056,20, 69.47, 38.50, 17.40, 23.97, 69.51, 39.03, 17.59, 24.25,2.37, 2.57,
